ปี,หมายเลขบ่อน้ำบาดาล / หมายเลขอื่น ๆ,สถานที่ตั้งบ่อ,จังหวัด,อำเภอ,ตำบล,ความลึกของบ่อ,pH,EC,ความขุ่น,สี,แคลเซียม,แมกนีเซียม,โซเดียม,โพแทสเซียม,เหล็ก,แมงกานีส,ทองแดง,สังกะสี,ซัลเฟต,คลอโรด์,คาร์บอเนต,โบคาร์บอเนต,ฟลูออไรด์,ไนไทรต์,ไนเทรด,ความกระด้างทั้งหมด,ความกระกระด่างถาวร,TDS,สารหนู,ตะกั่ว,แคดเมียม,โครเมียม,ปรอท,ซีลีเนียม
2565,5909B015,บ้านเขามะปริง ตำบลนายายอาม อำเภอนายายอาม จังหวัดจันทบุรี,จันทบุรี,นายายอาม,นายายอาม,-,7.6,529,0.1,-,100,6.3,2.3,0.26,3.0,0.3,-,-,2,8.0,0,350,0.1,-,< 0.9,290,0,344,,,,,,
2565,5909B015,บ้านเขามะปริง ตำบลนายายอาม อำเภอนายายอาม จังหวัดจันทบุรี,จันทบุรี,นายายอาม,นายายอาม,-,7.2,646,0.2,-,87,15,34,0.76,3.9,0.5,-,-,7,85,0,242,0.1,-,< 0.9,280,80,420,,,,,,
2564,6409G022,ทัณฑสถานเปิดทุ่งเบญจา บ้านเนินดินแดง ตำบลทุ่งเบญจา อำเภอท่าใหม่ จังหวัดจันทบุรี,จันทบุรี,ท่าใหม่,ทุ่งเบญจา,80,7.4,252,-,-,37,3.0,15,4.8,0.0,0.1,-,-,4,8.0,0,164,0.1,-,1.1,100,0,164,,,,,,
2564,6409G022,ทัณฑสถานเปิดทุ่งเบญจา บ้านเนินดินแดง ตำบลทุ่งเบญจา อำเภอท่าใหม่ จังหวัดจันทบุรี,จันทบุรี,ท่าใหม่,ทุ่งเบญจา,80,8.3,361,-,-,49,4.2,14,31,0.0,1.0,-,-,15,6.8,29,143,1.8,-,< 0.9,140,0,235,,,,,,
2564,6409E008,บ้านคลองหลอด บ่อที่ 3 ตำบลท่าช้าง อำเภอเมืองจันทบุรี จังหวัดจันทบุรี,จันทบุรี,เมืองจันทบุรี,ท่าช้าง,62,6.9,366,-,-,11,8.1,58,4.8,3.7,0.2,-,-,10,53,0,127,0.2,-,< 0.9,60,0,238,,,,,,
2568,6409G050,ทัณฑสถานเปิดทุ่งเบญจา ตำบลทุ่งเบญจา อำเภอท่าใหม่ จังหวัดจันทบุรี,จันทบุรี,ท่าใหม่,ทุ่งเบญจา,140,7.6,174,0.2,-,26,1.4,9.9,2.2,0.0,0.0,0.0,0.4,1,3.6,0,114,0.5,-,1.2,70,0,113,,,,,,
2565,5909F034,บ้านวังหิน ตำบลวังโตนด อำเภอนายายอาม จังหวัดจันทบุรี,จันทบุรี,นายายอาม,วังโตนด,-,6.0,146,> 20,-,8.2,2.2,13,0.60,0.0,0.2,-,-,14,24,0,6,0.0,-,< 0.9,30,25,95,,,,,,
2565,5909F034,บ้านวังหิน ตำบลวังโตนด อำเภอนายายอาม จังหวัดจันทบุรี,จันทบุรี,นายายอาม,วังโตนด,-,6.4,176,15,-,7.8,3.1,17,0.58,0.0,0.0,-,-,19,32,0,11,0.0,-,2.4,32,24,114,,,,,,
2562,5943G052,โรงพยาบาลส่งเริมสุขภาพตำบลชากชุม ตำบลเขาแก้ว อำเภอท่าใหม่ จังหวัดจันทบุรี,จันทบุรี,ท่าใหม่,เขาแก้ว,22,7.8,173,-,-,22,5.2,6,< 0.4,1.6,0.3,0.0,0.0,< 1,2.0,0,103,0.1,0.00,< 0.9,76,0,112,,,,,,
2562,6109H040,บ้านสะตอน ตำบลสะตอน อำเภอสอยดาว จังหวัดจันทบุรี,จันทบุรี,สอยดาว,สะตอน,104,7.6,825,-,-,84,33,49,0.6,0.2,0.0,-,-,19,64,0,422,0.3,0.00,5.5,340,0,536,,,,,,
2565,5909A037,บ้านเกาะพลอง ตำบลหนองบัว อำเภอเมืองจันทบุรี จังหวัดจันทบุรี,จันทบุรี,เมืองจันทบุรี,หนองบัว,-,7.5,310,3.5,-,12,1.7,55,1.4,0.8,0.1,-,-,7,24,0,128,0.5,-,< 0.9,38,0,202,,,,,,
